"","Category","ID","Latitude","Longitude"
"148","Merced",148,"37.314139","-120.3867"
"92","Kesterson",92,"37.231861","-120.88082"
"56","Los Banos",56,"37.096694","-120.7539"
"124","Panoche",124,"36.890056","-120.73141"
"7","Firebaugh/Telles",7,"36.851222","-120.59092"
"80","Fresno State",80,"36.820833","-119.74231"
"105","Westlands",105,"36.634028","-120.38181"
"142","Orange Cove",142,"36.721083","-119.38903"
"39","Parlier",39,"36.597444","-119.50404"
"2","FivePoints",2,"36.336222","-120.11291"
"205","Coalinga",205,"36.175833","-120.36027"
"15","Stratford",15,"36.157972","-119.85143"
"258","Lemon Cove",258,"36.376917","-119.037972"
"86","Lindcove",86,"36.3605","-119.05935"
"169","Porterville",169,"36.082056","-119.09342"
"182","Delano",182,"35.8330","-119.25596"
"5","Shafter",5,"35.532556","-119.28179"
"54","Blackwells Corner",54,"35.649861","-119.9593"
"146","Belridge",146,"35.505833","-119.69114"
"70","Manteca",70,"37.834822","-121.22319"
"71","Modesto",71,"37.645222","-121.18776"
"194","Oakdale",194,"37.727194","-120.85086"
"206","Denair II",206,"37.545869","-120.75453"
"242","Staten Island",242,"38.192397","-121.510261"
"248","Holt",248,"37.932072","-121.396661"
"249","Ripon",249,"37.755597","-121.266153"
